MIDI,Onset,Duration,String,Position,Finger,Expansion
62,0.5,0.083333333,1,5,2,0
49,0.583333333,0.083333333,3,5,3,0
50,0.666666667,0.083333333,3,5,4,0
61,0.75,0.083333333,1,5,1,0
62,0.833333333,0.083333333,1,5,2,0
50,0.916666667,0.083333333,3,6,3,0
51,0.0,0.083333333,3,6,4,0
62,0.083333333,0.083333333,1,6,1,0
63,0.166666667,0.083333333,1,6,2,0
50,0.25,0.083333333,3,6,3,0
51,0.333333333,0.083333333,3,6,4,0
62,0.416666667,0.083333333,1,6,1,0
63,0.5,0.083333333,1,6,2,0
50,0.583333333,0.083333333,3,6,3,0
51,0.666666667,0.083333333,3,6,4,0
62,0.75,0.083333333,1,6,1,0
63,0.833333333,0.083333333,1,6,2,0
51,0.916666667,0.083333333,3,6,4,0
50,0.0,0.083333333,3,6,3,0
61,0.083333333,0.083333333,1,5,1,0
62,0.166666667,0.083333333,1,5,2,0
49,0.25,0.083333333,3,5,3,0
50,0.333333333,0.083333333,3,5,4,0
61,0.416666667,0.083333333,1,5,1,0
62,0.5,0.083333333,1,5,2,0
49,0.583333333,0.083333333,3,5,3,0
50,0.666666667,0.083333333,3,5,4,0
61,0.75,0.083333333,1,5,1,0
62,0.833333333,0.083333333,1,5,2,0
50,0.916666667,0.083333333,3,5,4,0
48,0.0,0.083333333,3,4,3,0
60,0.083333333,0.083333333,1,4,1,0
63,0.166666667,0.083333333,1,4,4,0
48,0.25,0.083333333,3,4,3,0
43,0.333333333,0.083333333,3,4,0,0
60,0.416666667,0.083333333,1,4,1,0
63,0.5,0.083333333,1,4,4,0
48,0.583333333,0.083333333,3,4,3,0
43,0.666666667,0.083333333,3,4,0,0
59,0.75,0.083333333,1,2,1,0
62,0.833333333,0.083333333,1,2,4,0
47,0.916666667,0.083333333,3,2,3,0
48,0.0,0.083333333,3,2,4,0
59,0.083333333,0.083333333,1,2,1,0
60,0.166666667,0.083333333,1,2,2,0
54,0.25,0.083333333,2,2,3,0
55,0.333333333,0.083333333,2,2,4,0
50,0.416666667,0.083333333,2,1,0,0
51,0.5,0.083333333,2,1,1,0
47,0.583333333,0.083333333,3,1,4,0
36,0.666666667,0.333333333,4,1,0,0
